W1,W4,W5A,W5B,W5C,W5D,W5E,W5F,W5G,W6,W7A,MH2A,MH2B,MH3B,wbi,Age,age_mh,Gender,Education,Household_Income,Subjective_Income,MH1,MH4B,MH5,age_var1,MH6,MH7C,MH9A,MH9B,MH9C,MH9D,MH9E,MH9F,MH9G,MH9H,Global11Regions_1,Global11Regions_2,Global11Regions_3,Global11Regions_4,Global11Regions_5,Global11Regions_6,Global11Regions_7,Global11Regions_8,Global11Regions_9,Global11Regions_10,Global11Regions_11,EMP_2010_1,EMP_2010_2,EMP_2010_3,EMP_2010_4,EMP_2010_5,EMP_2010_6,EMP_2010_ ,EMP_2010_1,EMP_2010_2,EMP_2010_3,EMP_2010_4,EMP_2010_5,EMP_2010_6,W10_1,W10_2,W10_3,W10_99,W11A_1,W11A_2,W11A_3,W11A_4,W11A_99
0,0,1,0,0,3,1,1,0,1,2,1,1,2,3,0.7411764705882353,0,1,1,1,3,0,0,1,2,1,1,2,1,0,1,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,0,0,0,1,0,0,3,0,1,0,0,0,3,0.6352941176470588,4,1,1,3,1,0,0,1,2,2,2,0,99,0,99,0,99,99,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,1,3,0,1,1,1,1,0,0,1,1,1,3,0.5647058823529412,4,2,2,1,3,1,0,1,2,1,1,1,1,1,99,99,99,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,0,0,2,0,3,0,0,3,1,1,0,1,0,3,0.6705882352941177,1,2,1,1,1,1,0,0,2,1,1,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,3,0,1,0,1,1,0,0,0,0,0,3,0.6352941176470588,4,1,2,4,0,0,0,2,2,1,1,0,99,1,0,1,1,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1,1,2,0,0,0,0,1,0,0,0,0,0,3,0.22352941176470592,0,2,2,3,0,1,0,1,1,1,1,0,99,0,1,1,99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2,1,2,0,0,0,2,3,0,0,0,0,2,3,0.7411764705882353,4,1,1,4,0,0,0,0,2,2,2,99,99,0,99,0,99,99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,0,1,1,2,3,1,2,1,1,1,0,0,1,3,0.5411764705882354,4,1,2,3,1,1,0,1,2,2,2,99,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,1,2,0,0,2,0,2,0,0,1,0,1,0,3,0.4823529411764706,0,2,0,0,1,1,0,1,2,2,1,0,0,99,0,99,99,99,99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1,1,1,0,1,0,0,1,0,0,0,0,0,3,0.34117647058823525,3,2,2,4,0,1,0,1,1,1,1,0,99,0,0,0,99,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
